start,end,length
205,206,51.669999999999995
205,2717,76.603
206,207,85.395
206,53011,66.981
53011,206,66.981
206,2075,74.77799999999999
2075,206,74.77799999999999
207,208,31.416000000000004
208,1928,59.885
209,1877,42.407
209,210,135.658
210,655,71.724
210,966,52.114000000000004
211,212,114.623
211,1151,86.79599999999999
1151,211,86.79599999999999
211,2932,83.433
2932,211,83.433
211,2040,222.808
2040,211,222.808
212,213,64.718
213,214,59.346000000000004
213,1361,72.322
214,614,80.252
214,54257,30.033
215,1638,79.392
215,216,137.634
216,45858,213.887
45858,216,213.887
216,217,141.09900000000002
217,46937,15.17
46937,217,15.17
217,2847,228.73399999999998
218,335,115.01400000000001
218,3052,74.049
219,218,309.291
219,692,74.53099999999999
220,1951,74.431
220,219,273.814
221,220,274.223
221,53180,74.157
222,2433,74.184
222,221,277.66299999999995
223,222,269.908
223,224,224.07600000000002
224,2359,79.56099999999999
225,44542,84.152
44542,225,84.152
225,226,73.874
226,225,73.874
226,42422,59.233999999999995
42422,226,59.233999999999995
226,2062,76.044
2062,226,76.044
226,50788,64.176
50788,226,64.176
227,695,78.337
228,1739,84.6
229,228,273.776
229,1375,78.57900000000001
230,1740,84.71000000000001
230,229,293.79800000000006
231,3020,78.497
231,230,270.12600000000003
232,42222,22.684
42222,232,22.684
232,2473,166.526
232,42219,164.255
42219,232,164.255
233,2430,77.69
2430,233,77.69
233,41970,145.597
41970,233,145.597
234,46500,21.836
46500,234,21.836
234,233,132.355
234,46504,89.292
235,1584,85.364
236,235,79.081
237,236,79.261
237,2771,168.488
2771,237,168.488
238,237,79.149
238,2772,203.20100000000002
2772,238,203.20100000000002
239,238,452.93600000000004
239,1838,108.446
1838,239,108.446
240,1175,131.544
240,2732,77.928
2732,240,77.928
240,239,495.6379999999999
240,1838,396.974
1838,240,396.974
241,2933,84.43199999999999
2933,241,84.43199999999999
241,54256,52.745999999999995
54256,241,52.745999999999995
242,241,77.97899999999998
242,54233,149.972
54233,242,149.972
242,1729,125.71999999999998
1729,242,125.71999999999998
242,933,260.209
933,242,260.209
243,54233,77.18400000000001
54233,243,77.18400000000001
243,43180,203.42700000000002
244,2570,155.018
