no,lng,lat,sites,hotel
104,-73.9735933,40.7794868,,N
105,-73.934463,40.817189,,N
106,-74.0067668,40.7217241,,N
107,-74.0079995,40.7211998,,N
108,-74.0078146,40.7209099,,N
109,-74.0075453,40.7208183,,N
110,-74.0082309,40.7219848,,N
111,-73.9646868,40.7916653,,N
112,-74.0142358,40.706675,,N
113,-73.9352284,40.8295922,,N
114,-73.9356498,40.8305583,,N
115,-73.9362839,40.8304897,,N
116,-74.008466,40.7206456,,N
117,-74.0079297,40.7237578,,N
118,-74.0070994,40.7244054,,N
119,-73.9768601,40.7146116,,N
120,-73.9592519,40.7593082,,N
121,-73.959539,40.820283,,N
122,-73.9570228,40.8232976,,N
123,-73.9601312,40.8197265,,N
124,-73.9610583,40.8186803,,N
125,-73.9618103,40.8180007,,N
126,-73.9355687,40.8069238,,N
127,-73.934989,40.806716,,N
128,-73.9948115,40.7576654,,N
129,-73.9698495,40.784623,,N
130,-74.0059302,40.7244132,,N
131,-73.967223,40.8105617,,N
132,-73.9610256,40.8176607,,N
133,-73.977917,40.715649,,N
134,-73.952984,40.791722,,N
135,-73.98426,40.7856571,,N
136,-73.9641691,40.7923746,,N
137,-73.9596517,40.8203291,,N
138,-73.9760329,40.7955013,,N
139,-73.93488,40.8283867,,N
140,-73.9344467,40.8156499,,N
141,-73.9343624,40.8150259,,N
142,-73.9628627,40.7941945,,N
143,-73.9291241,40.7993084,,N
144,-73.9312445,40.803474,,N
145,-73.9359788,40.8310339,,N
146,-73.9309781,40.8668641,,N
147,-73.9847324,40.785664,,N
148,-74.00044,40.714372,,N
149,-73.9318334,40.8692662,,N
150,-74.0075216,40.7239092,,N
151,-74.0074947,40.723454,,N
152,-73.9323547,40.8039448,,N
153,-73.9523894,40.7982184,,N
154,-73.9370767,40.8341389,,N
155,-74.0128371,40.7024415,,N
156,-73.9303177,40.8023907,,N
157,-73.9368087,40.79239,,N
158,-73.9354595,40.8349981,,N
159,-73.9758369,40.7472719,,N
160,-73.9692725,40.74693,,N
161,-73.9745237,40.7373813,,N
162,-73.9748941,40.7369806,,N
163,-73.9348385,40.8063093,,N
164,-73.9342568,40.8179052,,N
165,-73.934348,40.8187778,,N
166,-73.9367296,40.7904084,,N
167,-73.9373914,40.7896936,,N
168,-73.9311538,40.847737,,N
169,-73.9521298,40.7652791,,N
170,-73.9510319,40.7665113,,N
171,-73.9441039,40.8353715,,N
172,-73.9445746,40.8363811,,N
173,-73.9442977,40.8370771,,N
174,-73.9440172,40.8377866,,N
175,-73.9437512,40.8384634,,N
176,-73.943465,40.839174,,N
177,-73.943066,40.840193,,N
178,-73.942279,40.842154,,N
179,-73.942013,40.84281,,N
180,-73.9416398,40.843443,,N
181,-73.941142,40.844049,,N
182,-73.940795,40.844686,,N
183,-73.940518,40.845369,,N
184,-73.940241,40.846048,,N
185,-73.940061,40.846519,,N
186,-73.939779,40.84721,,N
187,-73.939524,40.847838,,N
188,-73.9386594,40.8499781,,N
189,-73.938284,40.850909,,N
190,-73.937819,40.852128,,N
191,-73.937435,40.85338,,N
192,-73.9369033,40.855125,,N
193,-73.935602,40.857109,,N
194,-74.0058474,40.7116883,,N
195,-74.0042501,40.710185,,N
196,-74.0064696,40.706993,,N
197,-74.005691,40.706375,,N
198,-74.0052131,40.7059974,,N
199,-74.0044746,40.7054111,,N
200,-74.0036256,40.7136499,,N
201,-74.0026161,40.7142983,,N
202,-74.0021357,40.7151767,,N
203,-74.0016907,40.7157471,,N
204,-74.000818,40.71693,,N
205,-74.000274,40.717619,,N
206,-73.9999554,40.718016,,N
207,-73.9994292,40.7186723,,N
208,-73.999234,40.718913,,N
209,-73.9985112,40.7198029,,N
210,-73.997655,40.720836,,N
211,-73.9842518,40.7152176,,N
212,-73.9836386,40.7161377,,N
213,-73.9833624,40.7166776,,N
214,-73.9831071,40.717175,,N
215,-73.9825206,40.7183141,,N
216,-73.981927,40.7194672,,N
217,-73.9813183,40.7206493,,N
218,-73.9909583,40.7396792,,N
219,-73.9941671,40.7410305,,N
220,-73.997007,40.742228,,N
221,-73.9998517,40.7434266,,N
222,-74.0027323,40.7446399,,N
223,-74.005535,40.745816,,N
224,-74.0078599,40.746795,,N
225,-74.0166314,40.708135,,N
226,-74.017398,40.708457,,N
