id,lng,lat,depth,order
53521,-73.8036635,40.6589138,2,6791
53522,-73.903387,40.7073675,2,18790
53523,-73.9035181,40.7072579,1,6792
53524,-74.0076525,40.7083571,2,26032
53525,-74.0074464,40.7072268,1,16907
53526,-73.7661952,40.7539015,1,15040
53527,-73.7694004,40.7119484,1,14415
53528,-73.8189205,40.7101088,5,47278
53529,-73.7731205,40.7098937,1,14416
53530,-73.9578772,40.5867758,1,13134
53531,-73.9578286,40.5865032,2,27217
53532,-73.741668,40.7168529,9,52668
53533,-73.7407252,40.7170673,1,15041
53534,-73.7438765,40.7163399,2,20450
53535,-73.739788,40.7172881,3,39494
53536,-73.8540912,40.9052821,5,43314
53537,-73.8536466,40.9050725,3,31571
53538,-73.8528799,40.9046511,1,15042
53539,-73.852958,40.9045615,1,16480
53540,-73.8537942,40.9048821,6,43728
53541,-73.8542453,40.9050869,1,13135
53542,-74.2237669,40.504804,1,3535
53543,-74.2122969,40.5353911,1,3536
53544,-73.8684746,40.6577288,2,26033
53545,-73.889739,40.6818177,1,35245
53546,-73.9985576,40.7453253,1,10092
53547,-73.7923583,40.748462,1,16481
53548,-73.8509378,40.8373674,1,6793
53549,-73.8697699,40.7644432,1,4903
53550,-73.7716522,40.7626519,4,42856
53551,-73.7730324,40.7622543,5,43315
53552,-74.0187322,40.6438113,4,48126
53553,-73.9196423,40.6670368,1,15043
53554,-73.9198074,40.6670122,2,16482
53555,-74.1701781,40.5395255,1,3537
53556,-73.7978316,40.6763825,1,4013
53557,-73.9184017,40.8397056,1,13136
53558,-73.7410766,40.7017991,1,16483
53559,-73.7422701,40.6995183,1,18262
53560,-73.7449783,40.6936062,2,23523
53561,-73.7447141,40.6934897,1,13137
53562,-73.7407225,40.7026793,1,6794
53563,-73.7409827,40.7019785,3,40767
53564,-73.7413068,40.7013726,5,47688
53565,-73.7413988,40.7011984,15,54708
53566,-73.7416132,40.7007763,2,23524
53567,-73.7419208,40.7002255,3,35246
53568,-73.7422147,40.6996401,4,44121
53569,-73.7435351,40.6962122,3,43729
53570,-73.7438126,40.6953831,1,6795
53571,-73.7440982,40.6945317,26,56184
53572,-73.7447828,40.6931231,1,24877
53573,-73.7450552,40.6927701,3,43316
53574,-73.7461888,40.6912627,1,30036
53575,-73.7472346,40.6896958,7,50145
53576,-73.9441529,40.7804972,1,15044
53577,-73.9508632,40.7057996,2,32955
53578,-73.9226745,40.7262047,1,3538
53579,-73.8458822,40.8428073,6,45803
53580,-74.1497542,40.6204562,1,4169
53581,-74.1505488,40.6202154,2,6796
53582,-74.1508066,40.619962,1,3539
53583,-74.1501824,40.6200155,6,44863
53584,-73.8335816,40.7010827,3,38007
53585,-73.8715194,40.7307831,1,13138
53586,-73.9991544,40.6730128,3,38008
53587,-73.8583863,40.6874832,3,34168
53588,-73.8508917,40.7225891,1,8928
53589,-73.8508704,40.7223844,2,24100
53590,-73.9567106,40.5905096,1,15045
53591,-73.9568985,40.5904672,2,16484
53592,-73.998146,40.6220747,1,8929
53593,-73.843234,40.6705601,3,34169
53594,-73.843199,40.6707219,1,13139
53595,-73.8129127,40.6913598,2,25147
53596,-73.8322532,40.6532804,1,4014
53597,-73.8378543,40.6577316,1,3540
53598,-73.7486562,40.7133336,1,15046
53599,-73.7484969,40.7133708,2,16485
53600,-73.9293908,40.8126681,2,23525
53601,-74.0753863,40.6422408,1,14417
53602,-73.9869608,40.6985034,2,26601
53603,-74.0947474,40.5842234,1,18263
53604,-73.9922822,40.7124807,1,26266
53605,-73.9920883,40.7212059,1,3541
53606,-73.9750336,40.7341911,1,3542
53607,-73.9787384,40.7360982,1,3543
53608,-73.943182,40.7467266,1,15047
53609,-73.9424447,40.7462952,3,30037
53610,-73.8583504,40.7288813,2,31572
53611,-73.8497927,40.7242954,7,50856
53612,-73.8495863,40.7239315,2,37143
53613,-73.9009336,40.6764498,2,30038
53614,-73.8665848,40.7711641,2,31573
53615,-73.877815,40.7716191,3,34170
53616,-74.079086,40.6256307,7,47689
53617,-74.078921,40.6255278,4,38777
53618,-74.0797049,40.6249638,1,14418
53619,-74.079524,40.6248706,3,28072
53620,-73.8852792,40.7707283,6,46330
53621,-73.8860774,40.7728341,1,13140
53622,-73.8869793,40.7737514,3,30039
53623,-73.8861812,40.7738339,2,6797
53624,-73.8880813,40.7683678,1,14419
53625,-73.8861352,40.7686695,8,50648
53626,-73.8882245,40.768337,1,16181
53627,-73.8871057,40.7685167,2,20210
53628,-73.8857979,40.7706624,1,8930
53629,-73.8219661,40.5990215,1,4015
53630,-73.8765869,40.7043356,1,10093
53631,-73.8762405,40.704344,2,31574
53632,-74.0654953,40.6039647,1,22193
53633,-74.0631769,40.6025187,71,56726
53634,-73.9994533,40.596449,3,42378
53635,-74.0002304,40.5956929,10,52942
53636,-73.8367605,40.6482022,1,3544
53637,-73.8148433,40.7320754,8,52309
53638,-73.862669,40.7031538,2,32956
53639,-73.8624616,40.7033785,1,8931
53640,-73.9316574,40.8052048,1,20159
53641,-73.8633504,40.7691467,1,6798
53642,-73.7608668,40.689518,1,3545
53643,-73.862898,40.70362,1,13141
53644,-73.9195984,40.6442513,2,23526
53645,-73.8864993,40.7445934,1,6799
53646,-73.8857878,40.7442876,2,23527
53647,-73.8996018,40.7540341,1,15048
53648,-73.9002918,40.7539569,2,38778
53649,-73.9012071,40.753863,12,54216
53650,-73.9018106,40.7538394,1,6800
53651,-73.899337,40.754101,1,18264
53652,-73.899598,40.7541062,2,30040
53653,-73.8338471,40.7131111,1,13142
53654,-73.7818104,40.7132045,1,16486
53655,-73.7823129,40.7130772,6,49732
53656,-73.7824644,40.7130388,7,49881
53657,-73.7825543,40.7129637,1,6801
53658,-73.9094249,40.8228497,2,31575
53659,-73.9163384,40.7135349,1,8932
53660,-73.8467131,40.64777,3,24878
53661,-73.8429782,40.6483164,1,15936
53662,-73.8420577,40.6484506,3,37144
53663,-73.8411433,40.6485839,1,20274
53664,-73.8402177,40.6487189,5,44122
53665,-73.8374681,40.6491184,12,51994
53666,-73.8372752,40.6491464,11,51897
53667,-73.8251393,40.7161122,1,18142
53668,-73.8277556,40.7165816,2,37145
53669,-73.820252,40.7167122,7,51349
53670,-73.8276321,40.7152497,2,35247
53671,-73.8248806,40.7165665,4,44864
53672,-73.826074,40.7191217,28,56303
53673,-73.8435104,40.7081819,8,50257
53674,-73.8419773,40.7094472,1,13143
53675,-73.917336,40.7707737,8,51995
53676,-73.9165667,40.7703437,2,26034
53677,-73.9200368,40.7662649,1,8933
53678,-73.8755809,40.6537747,1,17745
53679,-73.8754057,40.6552196,1,3546
53680,-73.8752153,40.6549585,15,54912
53681,-73.8751418,40.6548577,14,54903
53682,-73.8746454,40.654177,4,32957
53683,-73.8763635,40.6534382,3,24879
53684,-73.8773641,40.7258621,1,18430
53685,-73.8712721,40.7289955,2,24880
53686,-73.8713862,40.7295652,4,42379
53687,-73.856294,40.704195,1,4904
53688,-73.8797166,40.8680886,1,13144
53689,-73.8525581,40.6976,11,53292
53690,-73.8525132,40.6977765,1,13145
53691,-73.8526337,40.6982134,2,30041
53692,-73.8517353,40.6930491,3,38009
53693,-73.852212,40.693672,1,8934
53694,-73.846513,40.6852423,1,13146
53695,-73.8464784,40.6854349,3,36229
53696,-73.8460244,40.6839803,1,13147
53697,-73.8460162,40.6837173,2,25148
53698,-73.8444451,40.6806445,27,56256
53699,-73.8444054,40.6803245,4,38010
53700,-73.8423736,40.6706706,5,46073
53701,-73.916872,40.816496,1,16908
53702,-73.9156715,40.8164638,5,44510
53703,-73.9176808,40.8160394,1,23528
53704,-73.8444492,40.6793436,1,13148
53705,-73.8428997,40.6706517,8,50258
53706,-74.0145633,40.7104259,1,6802
53707,-74.0137746,40.7105746,1,3547
53708,-74.1500905,40.6277848,6,43730
53709,-74.1687548,40.5401117,3,31576
53710,-73.9529171,40.8077807,32,56431
53711,-73.837014,40.8430692,2,31577
53712,-73.7556704,40.7354569,1,18265
53713,-73.9995896,40.596449,1,16182
53714,-74.1895747,40.6217985,1,3548
53715,-73.9142765,40.7593763,1,23529
53716,-73.9075976,40.7532274,1,10094
53717,-73.7856224,40.7259223,1,4905
53718,-73.7855523,40.7257471,2,17329
53719,-73.7852521,40.7259275,1,15937
53720,-73.9023469,40.6369749,2,24101
53721,-73.866409,40.6595061,2,30042
53722,-73.8665018,40.6594754,3,34171
53723,-73.7308675,40.7652799,3,36230
53724,-73.7310925,40.7652679,1,6803
53725,-74.1888113,40.6212745,2,23530
53726,-73.7754816,40.6611791,4,37146
53727,-73.9736962,40.745755,65,56718
53728,-73.7837817,40.6479457,1,3549
53729,-73.7817406,40.6478601,1,3550
53730,-73.7734785,40.6539899,1,3551
53731,-73.7359885,40.7241588,4,42380
53732,-73.7420503,40.7295785,1,4906
53733,-73.7419835,40.7297925,2,23531
53734,-73.9110649,40.699511,5,46818
53735,-73.9785053,40.6550595,3,40768
53736,-73.9788738,40.6546488,1,14420
53737,-73.933971,40.8074463,2,34172
53738,-73.9308181,40.8026147,4,43317
53739,-73.9349721,40.8092978,3,36231
53740,-73.8853525,40.7730331,1,6804
53741,-74.0040661,40.7381957,4,41895
53742,-73.7218371,40.7251537,16,54926
53743,-73.9565925,40.7142594,1,8935
53744,-73.9487606,40.6432433,6,49004
53745,-73.7945337,40.7443495,1,8936
53746,-73.7945692,40.743895,2,24102
53747,-73.9294386,40.6792919,1,8937
53748,-73.9292549,40.6790869,2,26741
53749,-73.9287238,40.6792585,1,10095
53750,-73.9288469,40.6795218,4,38011
53751,-73.9256456,40.7318066,2,35248
53752,-74.0133653,40.7104243,1,3552
53753,-74.0810883,40.6096108,1,3553
53754,-73.7732755,40.7213185,1,8938
53755,-73.7731963,40.7216185,2,26742
53756,-73.8423032,40.8404358,3,31578
53757,-73.8029523,40.7781182,2,25149
53758,-73.8029029,40.7782982,1,7951
53759,-73.9206204,40.8368756,2,23770
53760,-73.7570225,40.5973153,1,8939
53761,-73.7562975,40.597719,1,10096
53762,-73.7564438,40.5976536,8,49005
53763,-73.998694,40.672824,2,17330
53764,-73.9964751,40.6774341,10,52837
53765,-73.9274922,40.8423925,2,27218
53766,-73.9756444,40.7405763,1,3554
53767,-73.9596338,40.7367327,1,4016
53768,-73.958943,40.7360463,2,6805
53769,-73.8761503,40.772064,3,45186
53770,-73.8762542,40.7720436,10,52524
53771,-73.9541002,40.7427423,4,44511
53772,-73.9522092,40.7398676,3,23532
53773,-73.9522914,40.739618,1,3555
53774,-73.9526749,40.7396952,1,3556
53775,-73.9506874,40.7397379,1,3557
53776,-73.9510094,40.7421191,1,15049
53777,-73.9524336,40.7414625,67,56721
53778,-73.952187,40.7413109,4,45187
53779,-73.9511839,40.7428962,2,26035
53780,-73.9510638,40.7428741,3,39495
53781,-74.230774,40.5043753,3,35249
53782,-74.2317014,40.5042175,2,26602
53783,-73.8072884,40.7783097,1,8940
53784,-73.8072643,40.7785032,2,31579
53785,-73.8107547,40.7777911,1,13149
53786,-73.8107783,40.7776011,2,17331
53787,-73.8133613,40.777086,1,8941
53788,-73.8133417,40.777285,2,23533
53789,-73.8230165,40.7240451,2,27986
53790,-73.8230533,40.7239608,4,40769
53791,-73.8211424,40.7245588,1,6806
53792,-73.8616238,40.7675184,2,30043
53793,-73.9600015,40.7390828,3,23534
53794,-73.9593696,40.7437476,3,38012
53795,-73.8868188,40.7665762,4,46331
53796,-74.0010276,40.7545013,2,17332
53797,-73.8455053,40.8140437,1,3558
53798,-73.772597,40.7106347,1,3559
53799,-73.9418699,40.7438085,4,41896
53800,-73.9406199,40.7477016,2,23535
53801,-73.9397598,40.7463294,1,3560
53802,-73.933377,40.6252708,1,6807
53803,-73.9334741,40.6260486,1,8942
53804,-74.1656319,40.5549407,1,3561
53805,-74.165682,40.5551755,2,20351
53806,-74.166294,40.5534649,2,6808
53807,-74.1664557,40.553767,1,4017
53808,-74.1666004,40.550631,1,4907
53809,-74.1698095,40.5610741,14,54681
53810,-74.1874549,40.5337238,3,32958
53811,-74.1711908,40.5592582,1,3562
53812,-74.1661603,40.5486056,2,24881
53813,-74.153349,40.5530265,1,3563
53814,-74.1666128,40.5506986,3,35250
53815,-74.164268,40.5488662,2,30044
53816,-74.1640955,40.5480372,1,3564
53817,-74.1657094,40.5508145,5,44512
53818,-74.1652402,40.548731,3,32959
53819,-74.1661832,40.5529432,4,43731
